mes,lote,cod_distrito,distrito,año,waste_type,amount,category
ABRIL,3,8,FUENCARRAL,2022,orgánica_hojas_y_ramas,37.34,recyclable
ABRIL,3,9,MONCLOA,2022,orgánica_hojas_y_ramas,29.08,recyclable
ABRIL,3,10,LATINA,2022,orgánica_hojas_y_ramas,31.34,recyclable
ABRIL,4,15,CIUDAD LINEAL,2022,orgánica_hojas_y_ramas,0.0,recyclable
ABRIL,4,16,HORTALEZA,2022,orgánica_hojas_y_ramas,0.0,recyclable
ABRIL,4,20,SAN BLAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
ABRIL,4,21,BARAJAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
ABRIL,5,13,PUENTE DE VALLECAS ,2022,orgánica_hojas_y_ramas,0.0,recyclable
ABRIL,5,18,VILLA DE VALLECAS ,2022,orgánica_hojas_y_ramas,0.0,recyclable
ABRIL,5,14,MORATALAZ,2022,orgánica_hojas_y_ramas,0.0,recyclable
ABRIL,5,19,VICÁLVARO,2022,orgánica_hojas_y_ramas,0.0,recyclable
ABRIL,6,11,CARABANCHEL,2022,orgánica_hojas_y_ramas,0.0,recyclable
ABRIL,6,12,USERA,2022,orgánica_hojas_y_ramas,0.0,recyclable
ABRIL,6,17,VILLAVERDE,2022,orgánica_hojas_y_ramas,0.0,recyclable
MAYO,1,1,CENTRO ,2022,orgánica_hojas_y_ramas,2.12,recyclable
MAYO,1,6,TETUÁN,2022,orgánica_hojas_y_ramas,0.0,recyclable
MAYO,1,7,CHAMBERÍ,2022,orgánica_hojas_y_ramas,0.0,recyclable
MAYO,2,2,ARGANZUELA,2022,orgánica_hojas_y_ramas,0.0,recyclable
MAYO,2,3,RETIRO,2022,orgánica_hojas_y_ramas,0.0,recyclable
MAYO,2,4,SALAMANCA,2022,orgánica_hojas_y_ramas,7.46,recyclable
MAYO,2,5,CHAMARTÍN,2022,orgánica_hojas_y_ramas,0.0,recyclable
MAYO,3,8,FUENCARRAL,2022,orgánica_hojas_y_ramas,25.16,recyclable
MAYO,3,9,MONCLOA,2022,orgánica_hojas_y_ramas,20.12,recyclable
MAYO,3,10,LATINA,2022,orgánica_hojas_y_ramas,10.56,recyclable
MAYO,4,15,CIUDAD LINEAL,2022,orgánica_hojas_y_ramas,0.0,recyclable
