MES;LOTE;DISTRITO;Kg Recogida de muebles;Kg Recogida Residuos Viarios;Nº Servicios Barrido Manual;Nº Servicios Barrido Mecánico;Nº Servicios Barrido Mixto;Nº Servicios Baldeo Mixto;Nº Servicios Baldeo Mecánico;Nº Servicios Eliminación Grafitis;M2 Eliminación Grafitis;Ud Reposición Bolsas Caninas
ENERO 2018;1;CENTRO - ARGÜELLES;40980;690120;3004;19;55;788;87;814;6919;636000
ENERO 2018;1;CHAMBERÍ;31940;328270;980;18;49;325;86;165;2010;348000
ENERO 2018;1;TETUÁN;3580;443620;943;50;68;258;62;298;5020;324000
ENERO 2018;2;ARGANZUELA;3660;211260;864;29;26;206;90;117;5454;404000
ENERO 2018;2;RETIRO;14040;389220;749;42;80;65;56;85;1454;430800
ENERO 2018;2;SALAMANCA;17920;780098;947;42;57;192;82;30;1409;383000
ENERO 2018;2;CHAMARTÍN;720;416540;1048;12;125;196;33;107;2228;271000
ENERO 2018;3;FUENCARRAL;0;645880;36;101;31;52;106;115;4330;428000
ENERO 2018;3;MONCLOA;17740;115020;914;0;52;29;51;37;6361;270000
ENERO 2018;3;LATINA;6120;697700;0;178;171;51;54;310;8080;388000
ENERO 2018;4;BARAJAS;10700;164672;231;7;91;25;35;51;640;185300
ENERO 2018;4;HORTALEZA;21720;316304;807;26;128;42;78;170;3800;430150
ENERO 2018;4;SAN BLAS;15300;688630;944;8;143;49;39;384;6050;403100
ENERO 2018;4;CIUDAD LINEAL;19360;767420;952;4;150;30;50;457;4650;487400
ENERO 2018;5;PTE. VALLECAS;8520;655455;1825;66;275;152;155;47;1324;500000
ENERO 2018;5;VILLA VALLECAS;2556;196636,5;480;43;144;84;51;39;708;212000
ENERO 2018;5;MORATALAZ;3408;262182;456;6;78;32;24;62;8102;288000
ENERO 2018;5;VICÁLVARO;2556;196636,5;311;16;63;91;41;37;1576;160000
ENERO 2018;6;CARABANCHEL;6081;561347;1644;18;161;114;108;203;7642;463556
ENERO 2018;6;USERA;3437;317283;988;3;81;52;40;90;2093;265587
ENERO 2018;6;VILLAVERDE;3702;341690;909;8;64;64;67;75;2583;280547
FEBRERO 2018;1;CENTRO - ARGÜELLES;55802;605300;2481;30;18;757;84;699;5941;584000
FEBRERO 2018;1;CHAMBERÍ;19880;299860;819;35;33;191;45;121;1875;348000
FEBRERO 2018;1;TETUÁN;3240;346020;772;47;75;162;38;349;4892;324000
FEBRERO 2018;2;ARGANZUELA;1980;114620;862;33;24;130;48;133;2467;150000
FEBRERO 2018;2;RETIRO;7800;323560;633;33;67;48;35;113;1227;390700
FEBRERO 2018;2;SALAMANCA;11220;735340;916;45;25;126;55;29;821;376000
FEBRERO 2018;2;CHAMARTÍN;0;242820;959;11;91;95;30;150;1860;320000
FEBRERO 2018;3;FUENCARRAL;0;489200;944;16;57;42;49;140;5242;429000
FEBRERO 2018;3;MONCLOA;12200;104820;787;0;32;37;59;34;6330;270000
FEBRERO 2018;3;LATINA;4540;533180;641;0;117;152;39;43;7210;300000
FEBRERO 2018;4;BARAJAS;10720;105342;232;17;45;34;41;178;725;163650
FEBRERO 2018;4;HORTALEZA;33060;206846;770;45;110;61;70;795;3820;372875
FEBRERO 2018;4;SAN BLAS;46380;418450;824;11;97;62;39;829;3860;342000
FEBRERO 2018;4;CIUDAD LINEAL;50880;519910;1188;8;94;57;42;1120;4200;424280
FEBRERO 2018;5;PTE. VALLECAS;8900;554060;1558;64;226;144;185;88;6319;380000
FEBRERO 2018;5;VILLA VALLECAS;2670;166218;397;41;91;70;53;38;13016;132000
FEBRERO 2018;5;MORATALAZ;3560;221624;386;5;59;35;23;28;2815;180000
FEBRERO 2018;5;VICÁLVARO;2670;166218;264;13;52;75;40;54;1956;112000
FEBRERO 2018;6;CARABANCHEL;5419;498474;1346;23;104;81;79;183;8087;461587
FEBRERO 2018;6;USERA;3063;281746;859;6;53;39;27;88;2666;264127
FEBRERO 2018;6;VILLAVERDE;3298;303420;787;14;36;50;40;43;1183;281478
MARZO 2018;1;CENTRO - ARGÜELLES;43480;675360;2471;17;14;757;89;1143;6600;688000
MARZO 2018;1;CHAMBERÍ;29060;287390;774;23;2;372;90;306;1557;348000
MARZO 2018;1;TETUÁN;11440;411220;673;42;1;290;52;297;3448;324000
MARZO 2018;2;ARGANZUELA;0;157629;880;38;3;220;74;227;2137;498000
MARZO 2018;2;RETIRO;19920;327240;684;22;41;98;63;115;676;387200
MARZO 2018;2;SALAMANCA;14720;908080;1015;57;6;234;72;37;646,5;378000
MARZO 2018;2;CHAMARTÍN;0;401940;1029;10;85;212;48;287;2367;322000
MARZO 2018;3;FUENCARRAL;0;548280;961;23;52;52;60;131;6781;428000
MARZO 2018;3;MONCLOA;18700;146740;820;0;34;55;49;38;8356;270000
MARZO 2018;3;LATINA;4380;617907;641;0;130;190;35;63;5730;292000
MARZO 2018;4;BARAJAS;14880;150862;227;8;41;42;48;134;1200;186450
MARZO 2018;4;HORTALEZA;31920;277840;753;37;90;89;88;241;2725;401950
MARZO 2018;4;SAN BLAS;51640;394480;888;19;13;165;63;435;3486;402700
MARZO 2018;4;CIUDAD LINEAL;74300;484860;1245;14;55;140;65;524;4322;514640
MARZO 2018;5;PTE. VALLECAS;7700;661240;1606;70;251;147;144;210;5825;760000
MARZO 2018;5;VILLA VALLECAS;2310;198372;423;35;81;69;49;85;2258;264000
MARZO 2018;5;MORATALAZ;3080;264496;380;5;58;31;23;72;3716;260000
MARZO 2018;5;VICÁLVARO;2310;198372;288;10;45;85;40;113;3605;152000
MARZO 2018;6;CARABANCHEL;5800;508384;1450;25;102;175;125;42;7488;463574
MARZO 2018;6;USERA;3625;317740;835;7;61;72;57;29;2894;261598
MARZO 2018;6;VILLAVERDE;5075;444836;862;20;38;96;63;24;2866;283549
ABRIL 2018;1;CENTRO - ARGÜELLES;48230;632860;2254;11;19;833;74;1304;9128;600000
ABRIL 2018;1;CHAMBERÍ;23380;354230;734;22;12;342;94;261;1802;308000
ABRIL 2018;1;TETUÁN;18480;354200;781;47;0;298;49;250;3211;324000
ABRIL 2018;2;ARGANZUELA;7820;118810;900;32;3;235;54;396;2228;284000
ABRIL 2018;2;RETIRO;13320;366100;694;24;33;108;59;129;760;398200
ABRIL 2018;2;SALAMANCA;25340;788420;980;59;1;219;83;37;1923;320000
ABRIL 2018;2;CHAMARTÍN;5060;365160;999;4;37;160;34;199;1513;325000
ABRIL 2018;3;FUENCARRAL;0;551540;934;23;45;59;60;214;6475;430000
ABRIL 2018;3;MONCLOA;22960;136080;737;0;30;63;52;29;6540;270000
ABRIL 2018;3;LATINA;9540;572110;641;0;100;228;39;80;5887;292000
ABRIL 2018;4;BARAJAS;15240;132188;201;10;39;44;49;46;270;175050
ABRIL 2018;4;HORTALEZA;35700;254192;781;30;92;95;92;740;3217;420550
ABRIL 2018;4;SAN BLAS;54600;409680;754;22;33;172;61;1136;4950;391000
ABRIL 2018;4;CIUDAD LINEAL;58060;557900;1218;3;61;153;83;1218;4556;430500
ABRIL 2018;5;PTE. VALLECAS;8770;677201;1600;57;266;143;147;238;8974;380000
ABRIL 2018;5;VILLA VALLECAS;2631;203160;449;30;90;72;45;193;6824;132000
ABRIL 2018;5;MORATALAZ;3508;270880;392;12;56;30;25;162;9047;180000
ABRIL 2018;5;VICÁLVARO;2631;203160;287;18;50;88;41;47;3953;112000
ABRIL 2018;6;CARABANCHEL;9688;481704;1539;27;107;169;132;40;9857;455626
ABRIL 2018;6;USERA;6055;301065;920;6;65;73;56;21;2409;254432
ABRIL 2018;6;VILLAVERDE;8477;421491;826;13;33;96;66;45;2668;295867
MAYO 2018;1;CENTRO - ARGÜELLES;47620;759200;2493;10;33;896;77;1225;9694;672000
MAYO 2018;1;CHAMBERÍ;6780;351606;748;35;15;273;56;400;3319;324000
MAYO 2018;1;TETUÁN;37840;325230;731;10;37;367;104;185;1030;348000
MAYO 2018;2;ARGANZUELA;2780;371880;979;2;53;197;35;243;1090;320000
MAYO 2018;2;RETIRO;16220;895590;1020;42;23;205;71;35;1797;462830
MAYO 2018;2;SALAMANCA;18920;399770;740;16;48;98;63;110;774;401500
MAYO 2018;2;CHAMARTÍN;7840;114900;877;45;14;222;54;625;2266;284000
MAYO 2018;3;FUENCARRAL;17480;192100;693;0;31;60;60;32;6399;270000
MAYO 2018;3;MONCLOA;0;530300;919;21;46;57;60;10;3517;430000
MAYO 2018;3;LATINA;9900;622360;522;0;93;224;37;74;9515;300000
MAYO 2018;4;BARAJAS;11600;147030;204;13;29;43;49;69;556;184550
MAYO 2018;4;HORTALEZA;34460;285590;712;29;86;102;94;277;1472;417850
MAYO 2018;4;SAN BLAS;47180;426150;638;16;42;173;71;444;5045;408550
MAYO 2018;4;CIUDAD LINEAL;48820;609130;1044;1;65;159;83;539;3170;466850
MAYO 2018;5;PTE. VALLECAS;11170;714845;1685;54;282;148;128;412;13942;460000
MAYO 2018;5;VILLA VALLECAS;3351;214453;430;21;98;70;33;81;2219;172000
MAYO 2018;5;MORATALAZ;4468;285938;412;12;63;31;24;43;357;260000
MAYO 2018;5;VICÁLVARO;3351;214453;297;20;50;85;40;30;120;152000
MAYO 2018;6;CARABANCHEL;20104;514760;1657;35;115;152;128;53;11173;457077
MAYO 2018;6;USERA;12565;321725;941;12;79;69;29;26;2712;252981
MAYO 2018;6;VILLAVERDE;17591;450415;839;23;30;110;51;39;2512;290587
JUNIO 2018;1;CENTRO - ARGÜELLES;79320;522860;2633;15;20;954;98;1809;12652;664000
JUNIO 2018;1;CHAMBERÍ;12440;438720;853;42;0;333;50;335;4837;324000
JUNIO 2018;1;TETUÁN;26380;294820;783;1;0;409;101;180;1002;348000
JUNIO 2018;2;ARGANZUELA;5600;466360;1037;3;38;211;36;185;1441;315000
JUNIO 2018;2;RETIRO;18460;917520;1114;49;3;249;75;48;1462;447900
JUNIO 2018;2;SALAMANCA;6760;385520;823;18;21;129;62;119;301;416300
JUNIO 2018;2;CHAMARTÍN;4240;96800;947;29;2;242;64;671;2342;364000
JUNIO 2018;3;FUENCARRAL;26880;62180;605;0;9;120;66;44;6040;270000
JUNIO 2018;3;MONCLOA;0;641430;868;15;43;98;67;152;5291;428000
JUNIO 2018;3;LATINA;11000;595492;451;0;40;225;55;70;7684;340000
JUNIO 2018;4;BARAJAS;8440;116485;198;15;42;44;47;60;395;182900
JUNIO 2018;4;HORTALEZA;20550;241875;696;33;90;113;87;150;1725;420300
JUNIO 2018;4;SAN BLAS;55640;491200;756;18;47;180;65;450;2750;393200
JUNIO 2018;4;CIUDAD LINEAL;56500;538320;1002;1;66;166;80;380;2320;486000
JUNIO 2018;5;PTE. VALLECAS;5120;686875;1637;54;268;145;139;812;2434,9;500000
JUNIO 2018;5;VILLA VALLECAS;1536;206063;397;24;102;69;38;71;205,41;212000
JUNIO 2018;5;MORATALAZ;2048;274750;318;1;46;71;24;317;809,94;300000
JUNIO 2018;5;VICÁLVARO;1536;206063;270;6;54;87;37;271;720,38;192000
JUNIO 2018;6;CARABANCHEL;8832;492680;1542;39;99;163;131;59;7110;450821
JUNIO 2018;6;USERA;5520;307925;885;10;76;73;21;36;3099;255513
JUNIO 2018;6;VILLAVERDE;7728;431095;783;19;28;123;56;33;2949;286332
JULIO 2018;1;CENTRO - ARGÜELLES;36240;824480;2871;14;30;1032;77;986;6845;700000
JULIO 2018;1;CHAMBERÍ;17140;484740;868;18;36;387;51;152;2661;324000
JULIO 2018;1;TETUÁN;33440;345010;677;13;18;436;88;174;994;348000
JULIO 2018;2;ARGANZUELA;3100;545680;955;5;39;152;28;173;1796;350000
JULIO 2018;2;RETIRO;19240;658040;875;32;15;207;74;35;1314;462830
JULIO 2018;2;SALAMANCA;10160;336660;631;14;16;98;60;117;442,12;425300
JULIO 2018;2;CHAMARTÍN;3910;102040;803;24;13;218;61;415;747;324000
JULIO 2018;3;FUENCARRAL;18600;106860;457;0;25;82;84;36;6053;270200
JULIO 2018;3;MONCLOA;0;574240;619;10;40;101;50;306;5520;430000
JULIO 2018;3;LATINA;9080;600196;321;0;34;186;25;94;7212;376000
JULIO 2018;4;BARAJAS;17160;153202;169;11;26;44;43;95;627;189420
JULIO 2018;4;HORTALEZA;44560;290438;602;24;58;96;96;219;1258;445125
JULIO 2018;4;SAN BLAS;24600;366960;491;5;25;179;68;185;2391;402350
JULIO 2018;4;CIUDAD LINEAL;70000;603380;673;0;47;169;63;310;1810;504550
JULIO 2018;5;PTE. VALLECAS;6350;711577;1436;58;259;151;131;745;2782,53;380000
JULIO 2018;5;VILLA VALLECAS;1905;213473;336;15;99;70;41;111;542;132000
JULIO 2018;5;MORATALAZ;2540;284631;344;3;47;81;24;259;759,45;180000
JULIO 2018;5;VICÁLVARO;1905;213473;249;4;58;86;36;298;1384,86;112000
JULIO 2018;6;CARABANCHEL;13440;527432;1355;34;98;167;140;60;5514;445997
JULIO 2018;6;USERA;8400;329645;904;14;50;65;19;45;2785;258563
JULIO 2018;6;VILLAVERDE;11760;461503;788;19;36;100;48;45;3590;288106
AGOSTO 2018;1;CENTRO - ARGÜELLES;23480;721030;2455;2;58;770;53;920;6250;676000
AGOSTO 2018;1;CHAMBERÍ;1400;412200;823;16;44;205;57;61;741;324000
AGOSTO 2018;1;TETUÁN;22960;300427;609;23;43;245;58;133;760;348000
AGOSTO 2018;2;ARGANZUELA;12100;191240;823;1;667;126;30;98;985;280000
AGOSTO 2018;2;RETIRO;23460;744852;918;13;45;132;76;20;577;462830
AGOSTO 2018;2;SALAMANCA;4880;372820;775;9;40;73;62;108;912;420300
AGOSTO 2018;2;CHAMARTÍN;5920;129800;787;17;41;160;45;197;368;204000
AGOSTO 2018;3;FUENCARRAL;14360;25440;453;0;33;40;60;40;6168;270000
AGOSTO 2018;3;MONCLOA;0;479258;493;6;57;62;43;199;5530;428000
AGOSTO 2018;3;LATINA;3160;609720;275;0;45;85;27;64;7286;340000
AGOSTO 2018;4;BARAJAS;13040;107250;108;4;35;24;35;148;2019;173450
AGOSTO 2018;4;HORTALEZA;29120;220110;452;13;50;84;54;159;1254;386350
AGOSTO 2018;4;SAN BLAS;57420;356070;376;4;111;108;58;90;1421;371422
AGOSTO 2018;4;CIUDAD LINEAL;79230;556530;698;0;110;98;55;104;1170;484400
AGOSTO 2018;5;PTE. VALLECAS;8050;658823;1381;65;286;154;140;502;3620;380000
AGOSTO 2018;5;VILLA VALLECAS;2415;197647;318;1;59;55;46;142;892;132000
AGOSTO 2018;5;MORATALAZ;3220;263529;386;24;112;32;22;292;1456;180000
AGOSTO 2018;5;VICÁLVARO;2415;197647;233;1;73;90;31;167;3300;112000
AGOSTO 2018;6;CARABANCHEL;7121;568737;1320;25;75;200;135;31;2341;447890
AGOSTO 2018;6;USERA;4025;318068;796;3;74;87;26;17;984;259443
AGOSTO 2018;6;VILLAVERDE;4334;342536;710;17;30;92;45;11;401;261694
SEPTIEMBRE 2018;1;CENTRO - ARGÜELLES;28220;729360;2399;0;29;1034;119;900;6350;620000
SEPTIEMBRE 2018;1;CHAMBERÍ;2740;437980;734;31;21;377;59;173;1129;324000
SEPTIEMBRE 2018;1;TETUÁN;25520;363180;661;1;33;399;77;162;920;348000
SEPTIEMBRE 2018;2;ARGANZUELA;1520;171160;799;9;77;134;43;75;10250;350000
SEPTIEMBRE 2018;2;RETIRO;18620;979500;889;31;17;212;69;29;976;447900
SEPTIEMBRE 2018;2;SALAMANCA;9180;360140;620;17;26;91;53;149;638;310900
SEPTIEMBRE 2018;2;CHAMARTÍN;7840;161895;633;28;21;205;55;321;611;204000
SEPTIEMBRE 2018;3;FUENCARRAL;14000;119460;436;0;30;80;80;38;6317;270000
SEPTIEMBRE 2018;3;MONCLOA;6230;556000;717;3;45;129;51;40;2945;428000
