MES;LOTE;DISTRITO;Kg Recogida de muebles;Kg Recogida Residuos Viarios;Nº Servicios Barrido Manual;Nº Servicios Barrido Mecánico;Nº Servicios Barrido Mixto;Nº Servicios Baldeo Mixto;Nº Servicios Baldeo Mecánico;Nº Servicios Eliminación Grafitis;M2 Eliminación Grafitis;Ud Reposición Bolsas Caninas
SEPTIEMBRE 2018;3;LATINA;7040;554250;371;0;90;250;20;80;9530;328000
SEPTIEMBRE 2018;4;BARAJAS;19160;141304;196;9;47;33;52;59;290;175150
SEPTIEMBRE 2018;4;HORTALEZA;45060;284256;582;28;61;114;84;90;760;463700
SEPTIEMBRE 2018;4;SAN BLAS;36080;419850;442;5;78;180;56;260;2700;393300
SEPTIEMBRE 2018;4;CIUDAD LINEAL;47040;546000;729;1;77;171;69;270;1540;494350
SEPTIEMBRE 2018;5;PTE. VALLECAS;6315;661490;1560;53;252;145;120;590;3355;500000
SEPTIEMBRE 2018;5;VILLA VALLECAS;1854;198447;381;4;42;61;35;132;727;212000
SEPTIEMBRE 2018;5;MORATALAZ;2472;264596;332;26;102;50;23;263;1235;260000
SEPTIEMBRE 2018;5;VICÁLVARO;1854;198447;245;7;44;100;38;51;318;192000
SEPTIEMBRE 2018;6;CARABANCHEL;6280;496632;1240;17;166;110;137;60;5939;458165
SEPTIEMBRE 2018;6;USERA;3925;310395;799;0;160;33;57;13;1341;250862
SEPTIEMBRE 2018;6;VILLAVERDE;5495;434553;666;18;29;48;46;39;840;292112
OCTUBRE 2018;1;CENTRO - ARGÜELLES;36090;795206;2527;6;58;1031;91;972;6858;660000
OCTUBRE 2018;1;CHAMBERÍ;6480;480440;728;46;48;275;59;129;1058;324000
OCTUBRE 2018;1;TETUÁN;31020;378490;770;5;70;303;80;173;978;348000
OCTUBRE 2018;2;ARGANZUELA;5480;184640;980;3;109;92;30;180;1850;350000
OCTUBRE 2018;2;RETIRO;20760;1144040;941;40;27;197;68;24;900;462830
OCTUBRE 2018;2;SALAMANCA;11900;350100;702;22;42;95;48;126;514;427500
OCTUBRE 2018;2;CHAMARTÍN;5820;162688;829;43;48;194;51;350;684;404000
OCTUBRE 2018;3;FUENCARRAL;7140;566070;1065;33;95;83;65;52;5497;430000
OCTUBRE 2018;3;MONCLOA;20980;249740;587;0;62;63;61;44;5465;267000
OCTUBRE 2018;3;LATINA;5420;630380;603;0;169;225;20;82;7968;360000
OCTUBRE 2018;4;BARAJAS;12160;174332;289;17;37;49;53;106;592;225800
OCTUBRE 2018;4;HORTALEZA;33940;329428;783;33;113;62;136;174;2527;446550
OCTUBRE 2018;4;SAN BLAS;38780;492160;927;13;102;113;156;255;2788;408900
OCTUBRE 2018;4;CIUDAD LINEAL;30500;642580;1007;1;111;100;149;314;2302;475250
OCTUBRE 2018;5;PTE. VALLECAS;10120;730580;1634;64;278;151;117;412;4438;348000
OCTUBRE 2018;5;VILLA VALLECAS;3036;219174;403;9;54;68;47;85;529;120000
OCTUBRE 2018;5;MORATALAZ;4048;292232;345;39;115;23;26;156;1850;164000
OCTUBRE 2018;5;VICÁLVARO;3036;219173;274;10;66;91;43;141;3390;104000
OCTUBRE 2018;6;CARABANCHEL;5888;565324;1416;73;189;185;107;48;4999;457602
OCTUBRE 2018;6;USERA;3680;353327,5;937;12;128;61;69;44;1993;251321
OCTUBRE 2018;6;VILLAVERDE;5152;494658,5;774;20;63;80;75;9;1562;291937
NOVIEMBRE 2018;1;CENTRO - ARGÜELLES;56580;744446;2706;6;97;835;78;492;2100;372000
NOVIEMBRE 2018;1;CHAMBERÍ;11520;471100;886;39;94;175;51;195;1730;324000
NOVIEMBRE 2018;1;TETUÁN;22460;420940;745;25;84;283;46;80;328;348000
NOVIEMBRE 2018;2;ARGANZUELA;14200;401456;913;0;143;65;33;136;304;372000
NOVIEMBRE 2018;2;RETIRO;20060;1175360;958;21;77;185;58;86;804;447900
NOVIEMBRE 2018;2;SALAMANCA;12040;478700;668;26;70;80;41;96;554;386600
NOVIEMBRE 2018;2;CHAMARTÍN;7340;177615;742;20;109;145;43;244;759;200000
NOVIEMBRE 2018;3;FUENCARRAL;15700;282820;374;4;64;65;51;328;513;270000
NOVIEMBRE 2018;3;MONCLOA;6900;415450;753;19;105;100;47;201;3268;428000
NOVIEMBRE 2018;3;LATINA;3620;688700;497;1;197;229;16;547;5927;332000
NOVIEMBRE 2018;4;BARAJAS;11300;239622;224;21;99;50;47;96;545;190750
NOVIEMBRE 2018;4;HORTALEZA;27020;432018;677;42;203;99;77;166;1092;417150
NOVIEMBRE 2018;4;SAN BLAS;23700;637340;567;14;254;147;66;231;1360;396300
NOVIEMBRE 2018;4;CIUDAD LINEAL;49100;910840;1036;19;204;7;9;244;2033;503770
NOVIEMBRE 2018;5;PTE. VALLECAS;4360;861078;1831;61;306;159;106;550;1103;348000
NOVIEMBRE 2018;5;VILLA VALLECAS;1308;258324;421;7;93;59;37;58;195;120000
NOVIEMBRE 2018;5;MORATALAZ;1744;344431;455;25;106;25;26;213;712;164000
NOVIEMBRE 2018;5;VICÁLVARO;1308;258324;291;9;107;87;38;34;113;104000
NOVIEMBRE 2018;6;CARABANCHEL;4131;695853;1670;55;178;180;87;70;7430,78;456546
NOVIEMBRE 2018;6;USERA;2295;386585;983;29;113;51;43;24;938,85;250649
NOVIEMBRE 2018;6;VILLAVERDE;2754;463902;870;21;74;72;51;19;1799,68;293665
DICIEMBRE 2018;1;CENTRO - ARGÜELLES;27520;773260;2816;7;167;1166;90;456;2273;676000
DICIEMBRE 2018;1;CHAMBERÍ;16320;468580;764;21;199;226;51;90;344;348000
DICIEMBRE 2018;1;TETUÁN;1500;525590;987;32;142;126;41;200;1241;324000
DICIEMBRE 2018;2;ARGANZUELA;11238;281160;826;1;158;23;22;70;532,75;364000
DICIEMBRE 2018;2;RETIRO;29460;1148660;1127;12;152;172;64;69;840;462830
DICIEMBRE 2018;2;SALAMANCA;14280;430880;661;26;110;57;57;74;316,24;370200
DICIEMBRE 2018;2;CHAMARTÍN;14640;145740;790;12;127;134;47;258;1004,55;204000
DICIEMBRE 2018;3;FUENCARRAL;14680;225750;502;21;79;63;56;168;448,31;203570
DICIEMBRE 2018;3;MONCLOA;5960;562400;949;11;169;133;58;238;3580,07;428000
DICIEMBRE 2018;3;LATINA;5500;717600;492;0;264;290;29;368;4397;312000
DICIEMBRE 2018;4;BARAJAS;6300;212968;195;14;114;62;25;98;552;183250
DICIEMBRE 2018;4;HORTALEZA;18320;394212;592;41;255;96;74;196;1396;466725
DICIEMBRE 2018;4;SAN BLAS;19560;498270;524;4;299;21;9;113;492;410250
DICIEMBRE 2018;4;CIUDAD LINEAL;19320;998350;973;21;284;5;43;243;1904;515500
DICIEMBRE 2018;5;PTE. VALLECAS;4870;816376;2135;47;343;159;117;338;725,38;366000
DICIEMBRE 2018;5;VILLA VALLECAS;1461;244913;495;4;143;76;35;157;295,45;138000
DICIEMBRE 2018;5;MORATALAZ;1948;326551;566;17;130;59;21;159;760,09;68000
DICIEMBRE 2018;5;VICÁLVARO;1461;244913;328;3;139;82;31;121;293,91;32000
DICIEMBRE 2018;6;CARABANCHEL;3852;664902;1796;41;192;308;104;62;7298,06;460344
DICIEMBRE 2018;6;USERA;1712;295512;977;6;144;144;39;20;392,08;249125
DICIEMBRE 2018;6;VILLAVERDE;2996;517146;950;8;68;129;37;42;802,86;292888
