MES;LOTE;COD_DISTRITO;DISTRITO;MUEBLES 010    ;MUEBLES RECOG. PROGRAMADA ;MUEBLES RECOG. EN CALLE             ;Kg Recogida de muebles;RESTO            ;ORGÁNICA   (HOJAS Y RAMAS)                 ;ENVASES         ;PAPEL Y CARTÓN;VARIOS/RCDs CÓD DESTINO: VERLD;Kg Recogida Residuos Viarios;Nº Servicios Barrido Manual;Nº Servicios Barrido Mantenimiento;Nº Servicios Barrido Mecánico;Nº Servicios Barrido Mixto;Nº Servicios Baldeo Mecánico;Nº Servicios Baldeo Mixto;Nº Servicios Hidrolimpiador (Manchas);Nº Servicios Eliminación Grafitis;M2 Eliminación Grafitis;Ud Reposición Bolsas Caninas
AGOSTO;4;15;CIUDAD LINEAL;43.540;39.630;91.246;174.416;207.760;4.889;163;24.466;53.122;290.400;1.115;450;5;84;0;575;21;394;2.503;598.300
AGOSTO;4;16;HORTALEZA;34.576;31.471;72.460;138.507;164.986;3.883;130;19.429;42.185;230.613;1.745;158;137;126;0;552;124;217;797;599.500
AGOSTO;4;20;SAN BLAS;32.015;29.140;67.093;128.248;152.765;3.595;120;17.990;39.060;213.530;1.226;314;31;105;0;509;41;310;2.700;541.600
AGOSTO;4;21;BARAJAS;17.928;16.318;37.572;71.818;85.548;2.013;67;10.074;21.874;119.576;589;100;14;43;0;199;0;77;595;400.700
AGOSTO;5;13;PUENTE DE VALLECAS ;30.383;16.050;199.274;245.707;413.816;1.896;1.345;14.424;85.533;517.014;1.349;197;45;152;0;555;20;395;3.615;616.100
AGOSTO;5;18;VILLA DE VALLECAS ;15.438;8.700;99.170;123.308;151.504;711;680;8.985;37.752;199.632;621;81;89;43;0;259;20;190;1.470;308.300
AGOSTO;5;14;MORATALAZ;9.164;4.950;59.689;73.803;113.064;1.659;405;4.682;24.657;144.467;454;71;20;27;0;194;10;196;1.581;489.700
AGOSTO;5;19;VICÁLVARO;6.110;3.300;39.793;49.203;75.376;474;270;3.121;16.438;95.679;517;97;33;38;0;255;10;84;384;345.900
AGOSTO;6;11;CARABANCHEL;10.584;8.503;244.933;264.020;163.152;0;101;16.359;30.211;209.823;1.500;313;42;93;0;504;31;107;597;615.700
AGOSTO;6;12;USERA;9.114;7.322;154.695;171.131;140.492;0;87;14.087;26.015;180.681;980;251;48;58;0;326;28;117;1.963;358.600
AGOSTO;6;17;VILLAVERDE;9.702;7.795;244.932;262.429;149.556;0;92;14.995;27.694;192.337;1.199;324;56;65;0;415;31;72;454;426.600
SEPTIEMBRE;1;1;CENTRO ;38.195;17.040;3.525;58.760;674.890;0;7.840;6.100;22.700;711.530;947;1.530;94;49;0;805;69;510;2.983;789.100
SEPTIEMBRE;1;6;TETUÁN;31.860;21.240;53.100;106.200;395.590;0;180;1.197;0;396.967;562;310;109;112;0;426;60;117;344;478.600
SEPTIEMBRE;1;7;CHAMBERÍ;52.720;5.670;6.510;64.900;331.200;0;100;1.940;0;333.240;486;261;51;81;0;444;60;146;363;388.300
SEPTIEMBRE;2;2;ARGANZUELA;28.980;17.000;28.900;74.880;209.300;10.430;880;2.153;0;222.763;781;101;1;43;0;255;32;213;1.483;378.400
SEPTIEMBRE;2;3;RETIRO;41.784;20.892;6.964;69.640;190.240;0;600;9.331;0;200.171;507;333;0;28;0;240;51;87;281;339.700
SEPTIEMBRE;2;4;SALAMANCA;12.535;12.200;2.265;27.000;450.610;0;250;1.080;12.900;464.840;650;480;5;35;0;337;59;89;241;394.900
SEPTIEMBRE;2;5;CHAMARTÍN;55.800;10.240;7.680;73.720;237.440;0;360;8.518;51.080;297.398;854;323;0;53;0;483;49;193;886;439.100
SEPTIEMBRE;3;8;FUENCARRAL;33.860;44.640;117.120;195.620;290.200;25.120;200;25.820;6.500;347.840;1.463;141;73;62;0;545;60;379;3.945;420.900
SEPTIEMBRE;3;9;MONCLOA;23.029;15.380;29.010;67.419;6.460;16.340;260;6.760;0;29.820;1.138;172;65;48;0;540;60;134;820;227.600
SEPTIEMBRE;3;10;LATINA;62.300;29.900;171.800;264.000;175.700;31.380;400;4.940;0;212.420;1.199;146;52;54;0;423;60;309;3.077;423.100
SEPTIEMBRE;4;15;CIUDAD LINEAL;58.973;34.918;107.780;201.671;238.235;1.081;129;33.388;53.108;325.941;1.075;501;5;88;0;88;0;172;1.632;591.700
SEPTIEMBRE;4;16;HORTALEZA;46.625;27.935;85.590;160.151;189.186;859;103;26.514;42.174;258.836;1.685;176;135;126;0;126;124;242;2.881;588.400
SEPTIEMBRE;4;20;SAN BLAS;43.098;25.940;79.250;148.288;175.173;795;95;24.550;39.050;239.663;1.183;351;31;105;0;105;56;201;3.402;538.400
SEPTIEMBRE;4;21;BARAJAS;23.695;14.966;44.380;83.041;98.097;445;53;13.748;21.868;134.211;570;111;13;42;0;42;0;62;269;394.800
SEPTIEMBRE;5;13;PUENTE DE VALLECAS ;30.153;7.133;198.269;235.555;406.907;2.336;546;15.922;88.401;514.112;1.361;232;45;162;0;562;22;275;3.908;609.100
SEPTIEMBRE;5;18;VILLA DE VALLECAS ;34.460;8.152;108.736;151.348;143.608;876;624;11.768;36.744;193.620;621;95;95;41;0;256;22;101;493;303.900
SEPTIEMBRE;5;14;MORATALAZ;12.923;3.057;61.401;77.381;110.103;2.044;234;5.538;25.029;142.948;455;81;20;24;0;202;8;115;642;483.300
SEPTIEMBRE;5;19;VICÁLVARO;8.615;2.038;40.934;51.587;73.402;584;156;3.692;16.686;94.520;518;117;32;36;0;262;8;87;1.068;330.500
SEPTIEMBRE;6;11;CARABANCHEL;5.883;4.876;123.092;133.851;172.095;0;108;19.718;27.562;219.483;1.439;348;42;99;0;549;42;415;3.465;601.800
SEPTIEMBRE;6;12;USERA;15.170;12.573;317.446;345.189;148.192;0;93;17.022;23.733;189.040;924;279;46;81;0;351;38;175;958;339.600
