mes,lote,cod_distrito,distrito,muebles_010,muebles_recog._programada,muebles_recog._en_calle,total_kg_recogida_de_muebles,residuos_varios_viapublica_resto,orgánica_hojas_y_ramas,envases,papel_y_cartón,varios_residuos_de_construcción_y_demolición,kg_recogida_residuos_viarios,nº_servicios_barrido_manual,nº_servicios_barrido_mantenimiento,nº_servicios_barrido_mecánico,nº_servicios_barrido_mixto,nº_servicios_baldeo_mecánico,nº_servicios_baldeo_mixto,nº_servicios_hidrolimpiador_manchas,nº_servicios_eliminación_grafitis,m2_eliminación_grafitis,ud_reposición_bolsas_caninas,año,mes_año
FEBRERO,2,4,SALAMANCA,5.62,15.62,0.0,21.24,502.168,0.0,280.0,2.87,0.0,505.318,659.0,452.0,1.0,35.0,0.0,292.0,47.0,86.0,622.0,379.8,2022,FEBRERO_2022
FEBRERO,2,5,CHAMARTÍN,3.105,17.59,0.0,20.695,280.18,0.0,170.0,1.05,0.0,281.4,752.0,516.0,7.0,32.0,35.0,419.0,28.0,139.0,554.0,312.2,2022,FEBRERO_2022
FEBRERO,3,8,FUENCARRAL,11.34,37.62,30.82,79.78,0.0,0.0,400.0,8.16,326.08,334.64,1.06,160.0,78.0,56.0,0.0,512.0,56.0,58.0,122.0,396.1,2022,FEBRERO_2022
FEBRERO,3,9,MONCLOA,100.0,140.0,200.0,440.0,0.0,0.0,1.04,0.0,227.68,228.72,1.114,136.0,75.0,44.0,0.0,508.0,56.0,65.0,114.0,241.17,2022,FEBRERO_2022
FEBRERO,3,10,LATINA,7.04,29.38,23.46,59.88,0.0,0.0,580.0,4.1,329.579,334.259,1.086,108.0,28.0,48.0,0.0,396.0,56.0,66.0,285.0,401.34,2022,FEBRERO_2022
FEBRERO,4,15,CIUDAD LINEAL,9.021,9.069,0.0,18.09,0.0,0.0,21.0,2.655,197.43,200.106,513.0,468.0,12.0,42.0,0.0,179.0,0.0,78.0,107.0,587.45,2022,FEBRERO_2022
FEBRERO,4,16,HORTALEZA,21.049,21.161,0.0,42.21,0.0,0.0,49.0,6.195,460.67,466.914,1.417,160.0,102.0,119.0,0.0,509.0,110.0,6.0,18.0,470.32,2022,FEBRERO_2022
FEBRERO,4,20,SAN BLAS,18.042,18.138,0.0,36.18,0.0,0.0,40.0,4.55,330.05,334.64,1.071,334.0,28.0,100.0,0.0,472.0,56.0,7.0,29.0,442.8,2022,FEBRERO_2022
FEBRERO,4,21,BARAJAS,12.028,12.092,0.0,24.12,0.0,0.0,30.0,4.3,328.05,332.38,999.0,105.0,22.0,80.0,0.0,524.0,0.0,7.0,49.0,350.0,2022,FEBRERO_2022
FEBRERO,5,13,PUENTE DE VALLECAS ,8.512,3.648,0.0,12.16,0.0,0.0,0.0,2.12,267.848,269.968,1.252,170.0,92.0,69.0,0.0,553.0,21.0,54.0,126.0,612.5,2022,FEBRERO_2022
FEBRERO,5,18,VILLA DE VALLECAS ,3.192,1.368,0.0,4.56,0.0,0.0,0.0,1.62,100.443,102.063,544.0,42.0,162.0,40.0,0.0,265.0,14.0,23.0,42.0,284.1,2022,FEBRERO_2022
FEBRERO,5,14,MORATALAZ,7.448,3.192,0.0,10.64,0.0,0.0,0.0,1.56,234.367,235.927,415.0,22.0,57.0,17.0,0.0,146.0,8.0,15.0,50.0,293.1,2022,FEBRERO_2022
FEBRERO,5,19,VICÁLVARO,2.128,912.0,0.0,3.04,0.0,0.0,0.0,1.28,66.962,68.242,474.0,99.0,73.0,26.0,0.0,215.0,8.0,30.0,79.0,197.6,2022,FEBRERO_2022
FEBRERO,6,11,CARABANCHEL,12.428,8.2,0.0,20.628,477.54,0.0,0.0,25.816,0.0,503.356,1.103,262.0,18.0,78.0,0.0,500.0,79.0,116.0,239.0,478.5,2022,FEBRERO_2022
FEBRERO,6,12,USERA,7.767,5.125,0.0,12.892,298.463,0.0,0.0,16.135,0.0,314.598,756.0,185.0,30.0,50.0,0.0,323.0,81.0,39.0,100.0,284.9,2022,FEBRERO_2022
FEBRERO,6,17,VILLAVERDE,10.875,7.175,0.0,18.05,417.847,0.0,0.0,22.589,0.0,440.436,907.0,215.0,42.0,61.0,0.0,418.0,73.0,31.0,79.0,274.4,2022,FEBRERO_2022
MARZO,1,1,CENTRO ,31.56,9.94,2.32,43.82,0.0,0.0,2.76,11.52,665.28,679.56,958.0,1.612,93.0,28.0,13.0,807.0,39.0,421.0,917.0,865.1,2022,MARZO_2022
MARZO,1,6,TETUÁN,46.2,41.6,4.6,92.4,0.0,0.0,260.0,4.04,407.0,411.3,632.0,352.0,115.0,60.0,25.0,428.0,18.0,34.0,88.0,472.5,2022,MARZO_2022
MARZO,1,7,CHAMBERÍ,14.85,5.484,1.65,21.984,0.0,0.0,0.0,5.04,357.08,362.12,547.0,251.0,91.0,110.0,9.0,347.0,39.0,80.0,230.0,398.2,2022,MARZO_2022
MARZO,2,2,ARGANZUELA,5.02,8.94,5.62,19.58,226.17,0.0,426.0,4.22,0.0,230.816,624.0,318.0,15.0,37.0,3.0,274.0,45.0,50.0,259.0,350.4,2022,MARZO_2022
MARZO,2,3,RETIRO,5.32,3.542,2.1,10.962,296.73,0.0,386.0,1.04,0.0,298.156,454.0,349.0,43.0,38.0,3.0,261.0,39.0,46.0,153.0,312.3,2022,MARZO_2022
MARZO,2,4,SALAMANCA,26.75,17.41,6.88,51.04,397.24,0.0,437.0,2.88,0.0,400.557,706.0,502.0,0.0,104.0,14.0,238.0,30.0,47.0,515.0,374.9,2022,MARZO_2022
MARZO,2,5,CHAMARTÍN,9.208,9.76,8.2,27.168,205.222,0.0,290.0,960.0,0.0,206.472,1.015,486.0,5.0,147.0,26.0,407.0,32.0,104.0,626.0,325.0,2022,MARZO_2022
MARZO,3,8,FUENCARRAL,15.5,15.44,41.38,72.32,0.0,0.0,880.0,14.26,368.68,383.82,1.463,178.0,84.0,71.0,0.0,591.0,62.0,69.0,184.0,333.1,2022,MARZO_2022
MARZO,3,9,MONCLOA,10.68,11.4,23.64,45.72,0.0,0.0,820.0,8.11,201.4,210.33,1.074,269.0,81.0,52.0,0.0,586.0,62.0,31.0,81.0,258.18,2022,MARZO_2022
MARZO,3,10,LATINA,10.96,26.18,30.0,67.14,0.0,0.0,1.08,9.18,343.87,354.13,1.191,181.0,37.0,54.0,0.0,459.0,62.0,107.0,242.0,392.2,2022,MARZO_2022
MARZO,4,15,CIUDAD LINEAL,19.8,13.46,19.23,52.49,0.0,0.0,30.0,8.491,321.58,330.101,1.101,519.0,23.0,92.0,0.0,584.0,50.0,99.0,16.0,507.4,2022,MARZO_2022
MARZO,4,16,HORTALEZA,27.72,20.49,29.3,77.51,0.0,0.0,60.0,12.383,468.972,481.415,1.733,169.0,107.0,138.0,0.0,577.0,52.0,5.0,18.0,473.42,2022,MARZO_2022
MARZO,4,20,SAN BLAS,19.79,15.8,20.94,56.53,0.0,0.0,50.0,9.199,348.38,357.629,1.209,373.0,31.0,115.0,0.0,531.0,40.0,23.0,14.0,462.8,2022,MARZO_2022
MARZO,4,21,BARAJAS,11.87,8.77,14.13,34.77,0.0,0.0,40.0,5.307,200.988,206.335,599.0,107.0,9.0,44.0,0.0,207.0,35.0,4.0,278.0,370.0,2022,MARZO_2022
MARZO,5,13,PUENTE DE VALLECAS ,5.96,2.84,5.64,14.44,0.0,1.322,483.0,4.74,482.881,489.426,1.341,197.0,46.0,62.0,0.0,658.0,23.0,71.0,115.0,603.1,2022,MARZO_2022
MARZO,5,18,VILLA DE VALLECAS ,3.2,1.92,1.92,7.04,0.0,568.0,207.0,2.78,206.949,210.504,445.0,32.0,20.0,17.0,0.0,192.0,10.0,31.0,67.0,294.1,2022,MARZO_2022
MARZO,5,14,MORATALAZ,6.38,2.38,5.24,14.0,0.0,1.515,552.0,4.86,551.864,558.791,606.0,82.0,97.0,44.0,0.0,305.0,21.0,26.0,87.0,293.2,2022,MARZO_2022
MARZO,5,19,VICÁLVARO,1.88,1.28,1.62,4.78,0.0,375.0,138.0,1.88,137.966,140.359,506.0,127.0,33.0,34.0,0.0,265.0,10.0,41.0,154.0,199.6,2022,MARZO_2022
MARZO,6,11,CARABANCHEL,15.14,8.72,39.34,63.2,533.63,0.0,165.0,28.96,0.0,562.755,1.29,222.0,30.0,77.0,0.0,565.0,69.0,137.0,331.0,463.1,2022,MARZO_2022
MARZO,6,12,USERA,5.0,7.46,21.928,34.388,264.608,0.0,90.0,18.48,0.0,283.178,831.0,198.0,28.0,54.0,0.0,355.0,81.0,48.0,124.0,271.9,2022,MARZO_2022
MARZO,6,17,VILLAVERDE,5.22,4.64,32.892,42.752,396.912,0.0,45.0,24.48,0.0,421.437,946.0,210.0,26.0,67.0,0.0,471.0,69.0,28.0,83.0,286.4,2022,MARZO_2022
ABRIL,1,1,CENTRO ,27.04,8.28,2.27,37.59,0.0,0.0,2.26,9.84,657.28,669.38,995.0,1.56,97.0,29.0,1.0,746.0,42.0,315.0,751.0,865.1,2022,ABRIL_2022
ABRIL,1,6,TETUÁN,25.92,21.5,4.42,51.84,0.0,0.0,180.0,5.46,350.56,356.2,562.0,316.0,101.0,144.0,18.0,415.0,22.0,10.0,22.0,472.5,2022,ABRIL_2022
ABRIL,1,7,CHAMBERÍ,17.212,6.02,1.548,24.78,0.0,0.0,580.0,3.26,349.28,353.12,510.0,253.0,67.0,165.0,1.0,346.0,41.0,77.0,152.0,398.2,2022,ABRIL_2022
ABRIL,2,2,ARGANZUELA,4.1,15.16,10.52,29.78,317.64,0.0,0.0,3.34,0.0,320.98,609.0,335.0,21.0,104.0,1.0,238.0,172.0,128.0,299.0,334.0,2022,ABRIL_2022
ABRIL,2,3,RETIRO,3.426,1.144,1.15,5.72,271.52,0.0,0.0,1.82,0.0,273.34,442.0,336.0,40.0,84.0,0.0,251.0,31.0,34.0,127.0,312.3,2022,ABRIL_2022
ABRIL,2,4,SALAMANCA,19.987,35.473,17.26,72.72,453.13,0.0,1.16,3.28,453.13,910.7,765.0,490.0,0.0,164.0,1.0,349.0,35.0,22.0,374.0,374.9,2022,ABRIL_2022
ABRIL,2,5,CHAMARTÍN,10.72,10.44,12.1,33.26,293.54,0.0,0.0,0.0,0.0,293.54,779.0,573.0,8.0,173.0,0.0,358.0,38.0,89.0,248.0,325.0,2022,ABRIL_2022
ABRIL,3,8,FUENCARRAL,23.24,11.1,20.36,54.7,0.0,37.34,840.0,29.4,328.0,395.58,1.464,141.0,84.0,133.0,0.0,541.0,60.0,71.0,190.0,317.0,2022,ABRIL_2022
ABRIL,3,9,MONCLOA,22.1,19.2,7.66,48.96,0.0,29.08,780.0,21.38,193.12,244.36,1.139,172.0,78.0,110.0,0.0,538.0,60.0,40.0,87.0,242.0,2022,ABRIL_2022
ABRIL,3,10,LATINA,21.6,24.3,11.84,57.74,0.0,31.34,1.3,10.46,326.6,369.7,1.199,146.0,29.0,117.0,0.0,421.0,60.0,30.0,59.0,376.2,2022,ABRIL_2022
ABRIL,4,15,CIUDAD LINEAL,34.45,31.928,42.2,108.578,177.24,0.0,40.0,26.56,93.62,297.46,1.087,497.0,19.0,76.0,0.0,541.0,49.0,82.0,11.0,507.4,2022,ABRIL_2022
ABRIL,4,16,HORTALEZA,46.45,42.98,55.5,144.93,238.58,0.0,70.0,35.75,126.03,400.43,1.709,141.0,84.0,119.0,0.0,520.0,39.0,1.0,18.0,457.0,2022,ABRIL_2022
ABRIL,4,20,SAN BLAS,31.8,29.472,40.36,101.632,163.605,0.0,60.0,24.51,86.42,274.595,1.198,359.0,30.0,95.0,0.0,480.0,39.0,6.0,1.0,462.8,2022,ABRIL_2022
ABRIL,4,21,BARAJAS,19.8,18.42,24.0,62.22,102.255,0.0,50.0,15.32,54.02,171.645,589.0,79.0,12.0,38.0,0.0,188.0,36.0,4.0,171.0,354.0,2022,ABRIL_2022
ABRIL,5,13,PUENTE DE VALLECAS ,21.54,2.845,16.257,40.642,0.0,0.0,347.0,4.942,473.249,478.538,1.29,201.0,47.0,58.0,0.0,607.0,22.0,88.0,173.0,571.1,2022,ABRIL_2022
ABRIL,5,18,VILLA DE VALLECAS ,9.233,1.219,6.967,17.419,0.0,0.0,153.0,2.118,202.821,205.092,415.0,30.0,7.0,14.0,0.0,176.0,7.0,57.0,155.0,294.1,2022,ABRIL_2022
ABRIL,5,14,MORATALAZ,24.617,3.251,18.579,46.447,0.0,0.0,398.0,5.648,540.848,546.894,558.0,82.0,81.0,47.0,0.0,276.0,23.0,9.0,22.0,277.0,2022,ABRIL_2022
ABRIL,5,19,VICÁLVARO,6.154,813.0,4.645,11.612,0.0,0.0,102.0,1.412,135.214,136.728,494.0,126.0,23.0,31.0,0.0,244.0,7.0,15.0,77.0,199.6,2022,ABRIL_2022
ABRIL,6,11,CARABANCHEL,10.016,8.088,108.14,126.244,280.888,0.0,200.0,31.016,0.0,312.104,1.21,224.0,19.0,79.0,0.0,526.0,112.0,24.0,266.0,463.1,2022,ABRIL_2022
ABRIL,6,12,USERA,6.26,6.055,153.368,165.683,175.555,0.0,125.0,19.385,0.0,195.065,832.0,188.0,22.0,49.0,0.0,350.0,105.0,60.0,184.0,271.9,2022,ABRIL_2022
ABRIL,6,17,VILLAVERDE,8.764,8.477,230.052,247.293,245.777,0.0,175.0,27.139,0.0,273.091,882.0,156.0,15.0,59.0,0.0,433.0,407.0,19.0,41.0,270.4,2022,ABRIL_2022
MAYO,1,1,CENTRO ,24.02,5.32,2.05,31.39,5.76,2.12,3.2,8.94,786.48,806.5,977.0,1.612,103.0,92.0,0.0,810.0,42.0,321.0,787.0,865.1,2022,MAYO_2022
MAYO,1,6,TETUÁN,33.96,27.16,6.8,67.92,1.3,0.0,360.0,3.48,408.8,413.94,602.0,332.0,111.0,138.0,20.0,443.0,22.0,27.0,67.0,462.5,2022,MAYO_2022
