mes,lote,cod_distrito,distrito,muebles_010,muebles_recog._programada,muebles_recog._en_calle,total_kg_recogida_de_muebles,residuos_varios_viapublica_resto,orgánica_hojas_y_ramas,envases,papel_y_cartón,varios_residuos_de_construcción_y_demolición,kg_recogida_residuos_viarios,nº_servicios_barrido_manual,nº_servicios_barrido_mantenimiento,nº_servicios_barrido_mecánico,nº_servicios_barrido_mixto,nº_servicios_baldeo_mecánico,nº_servicios_baldeo_mixto,nº_servicios_hidrolimpiador_manchas,nº_servicios_eliminación_grafitis,m2_eliminación_grafitis,ud_reposición_bolsas_caninas,año,mes_año
JUNIO,4,16,HORTALEZA,46.25,35.9,75.89,158.04,239.225,0.0,70.0,38.99,151.13,429.415,1.706,175.0,119.0,132.0,0.0,555.0,90.0,16.0,48.0,481.5,2022,JUNIO_2022
JUNIO,4,20,SAN BLAS,35.75,26.75,61.775,124.275,177.7,0.0,60.0,28.96,112.27,318.99,1.195,361.0,30.0,110.0,0.0,512.0,20.0,10.0,30.0,485.8,2022,JUNIO_2022
JUNIO,4,21,BARAJAS,19.787,19.25,37.554,76.591,102.535,0.0,50.0,16.71,64.77,184.065,594.0,109.0,12.0,44.0,0.0,200.0,30.0,5.0,11.0,411.0,2022,JUNIO_2022
JUNIO,5,13,PUENTE DE VALLECAS ,24.128,4.222,31.969,60.319,79.456,0.0,280.0,4.557,543.527,627.82,1.331,261.0,50.0,77.0,0.0,639.0,21.0,11.0,28.0,587.1,2022,JUNIO_2022
JUNIO,5,18,VILLA DE VALLECAS ,10.34,1.809,13.703,25.852,33.769,0.0,120.0,1.953,168.938,204.78,447.0,75.0,16.0,17.0,0.0,187.0,9.0,16.0,36.0,274.5,2022,JUNIO_2022
JUNIO,5,14,MORATALAZ,27.574,4.826,36.536,68.936,49.66,0.0,140.0,5.208,290.892,345.9,664.0,78.0,100.0,43.0,0.0,301.0,21.0,8.0,15.0,282.0,2022,JUNIO_2022
JUNIO,5,19,VICÁLVARO,6.893,1.206,9.134,17.233,35.755,0.0,60.0,1.302,149.383,186.5,547.0,128.0,28.0,35.0,0.0,261.0,9.0,6.0,12.0,205.6,2022,JUNIO_2022
JUNIO,6,11,CARABANCHEL,6.451,10.792,255.2,272.443,214.587,0.0,56.0,31.024,64.813,310.48,1.32,351.0,38.0,83.0,0.0,557.0,61.0,101.0,303.0,481.6,2022,JUNIO_2022
JUNIO,6,12,USERA,4.032,6.745,159.5,170.277,134.117,0.0,35.0,19.39,40.508,194.05,929.0,244.0,40.0,54.0,0.0,346.0,78.0,3.0,9.0,288.7,2022,JUNIO_2022
JUNIO,6,17,VILLAVERDE,5.645,9.443,223.3,238.388,187.764,0.0,49.0,27.146,56.711,271.67,1.054,326.0,48.0,68.0,0.0,453.0,55.0,19.0,107.0,308.3,2022,JUNIO_2022
JULIO,1,1,CENTRO ,26.6,8.64,5.9,41.14,590.78,0.0,47.8,3.12,50.48,692.18,1.099,1.645,96.0,29.0,0.0,751.0,69.0,169.0,291.0,875.3,2022,JULIO_2022
JULIO,1,6,TETUÁN,46.17,23.57,40.54,110.28,277.96,0.0,520.0,7.76,126.48,412.72,620.0,342.0,89.0,79.0,21.0,457.0,50.0,16.0,75.0,461.0,2022,JULIO_2022
JULIO,1,7,CHAMBERÍ,46.601,4.5,17.979,69.08,213.48,7.42,200.0,4.26,95.56,320.92,512.0,269.0,90.0,70.0,1.0,426.0,45.0,35.0,142.0,395.5,2022,JULIO_2022
JULIO,2,2,ARGANZUELA,1.02,16.82,15.5,33.34,286.4,7.0,0.0,960.0,0.0,294.36,782.0,203.0,10.0,47.0,1.0,225.0,36.0,30.0,57.0,375.1,2022,JULIO_2022
JULIO,2,3,RETIRO,36.3,18.15,6.05,60.5,204.9,0.0,0.0,24.32,0.0,229.22,479.0,331.0,5.0,57.0,0.0,240.0,32.0,12.0,25.0,352.0,2022,JULIO_2022
JULIO,2,4,SALAMANCA,16.55,14.34,14.13,45.02,73.74,39.38,5.2,6.26,321.31,445.89,782.0,491.0,2.0,63.0,0.0,320.0,50.0,25.0,32.0,389.1,2022,JULIO_2022
JULIO,2,5,CHAMARTÍN,28.78,14.36,10.66,53.8,216.86,0.0,0.0,21.08,193.52,431.46,722.0,476.0,6.0,49.0,0.0,424.0,52.0,40.0,135.0,404.4,2022,JULIO_2022
JULIO,3,8,FUENCARRAL,28.0,37.9,63.44,129.34,160.96,4.66,0.0,21.88,87.02,274.52,1.53,146.0,84.0,62.0,0.0,547.0,62.0,38.0,216.0,352.3,2022,JULIO_2022
JULIO,3,9,MONCLOA,55.98,11.54,10.4,77.92,105.92,5.02,480.0,18.32,42.82,172.56,1.187,187.0,84.0,50.0,0.0,546.0,62.0,33.0,143.0,251.0,2022,JULIO_2022
JULIO,3,10,LATINA,46.36,27.18,108.74,182.28,104.78,0.0,480.0,10.94,27.26,143.46,1.256,152.0,32.0,55.0,0.0,431.0,62.0,58.0,454.0,342.5,2022,JULIO_2022
JULIO,4,15,CIUDAD LINEAL,24.727,13.124,57.134,94.985,211.259,0.0,20.0,19.483,73.622,304.383,1.165,482.0,20.0,84.0,0.0,527.0,34.0,85.0,365.0,525.4,2022,JULIO_2022
JULIO,4,16,HORTALEZA,27.475,14.582,63.482,105.539,258.205,0.0,60.0,21.648,84.948,364.861,1.778,172.0,111.0,121.0,0.0,497.0,100.0,15.0,11.0,481.5,2022,JULIO_2022
JULIO,4,20,SAN BLAS,21.064,11.18,48.67,80.914,195.61,0.0,40.0,16.597,67.958,280.205,1.263,348.0,31.0,100.0,0.0,442.0,28.0,10.0,16.0,485.8,2022,JULIO_2022
JULIO,4,21,BARAJAS,18.317,9.721,42.322,70.36,117.366,0.0,40.0,14.432,56.632,188.47,616.0,102.0,16.0,38.0,0.0,184.0,24.0,3.0,4.0,411.0,2022,JULIO_2022
JULIO,5,13,PUENTE DE VALLECAS ,22.816,4.995,43.54,71.351,66.703,0.0,0.0,13.428,370.366,450.497,1.39,270.0,51.0,75.0,0.0,649.0,22.0,53.0,131.0,587.1,2022,JULIO_2022
JULIO,5,18,VILLA DE VALLECAS ,8.707,2.141,19.732,30.579,28.587,0.0,0.0,5.052,158.728,192.367,459.0,80.0,19.0,18.0,0.0,190.0,9.0,6.0,5.0,284.9,2022,JULIO_2022
JULIO,5,14,MORATALAZ,23.218,5.708,52.618,81.544,76.232,0.0,0.0,13.472,423.275,512.979,688.0,78.0,94.0,47.0,0.0,292.0,22.0,15.0,20.0,214.1,2022,JULIO_2022
JULIO,5,19,VICÁLVARO,5.805,1.427,13.154,20.386,19.058,0.0,0.0,3.368,105.819,128.245,575.0,139.0,34.0,34.0,0.0,263.0,9.0,19.0,40.0,245.3,2022,JULIO_2022
JULIO,6,11,CARABANCHEL,4.356,5.384,249.384,259.124,169.28,0.0,56.0,29.376,97.04,295.752,1.411,362.0,31.0,83.0,0.0,550.0,58.0,51.0,185.0,481.6,2022,JULIO_2022
JULIO,6,12,USERA,2.723,3.365,155.865,161.953,105.8,0.0,35.0,18.36,60.65,184.845,960.0,259.0,27.0,52.0,0.0,362.0,52.0,18.0,48.0,288.7,2022,JULIO_2022
JULIO,6,17,VILLAVERDE,3.811,4.711,218.211,226.733,148.12,0.0,49.0,25.704,84.91,258.783,1.147,344.0,41.0,60.0,0.0,448.0,57.0,11.0,63.0,308.3,2022,JULIO_2022
AGOSTO,1,1,CENTRO ,27.94,9.07,6.19,43.2,520.1,0.0,0.0,9.54,124.96,654.6,977.0,1.612,104.0,31.0,0.0,800.0,83.0,354.0,410.0,895.1,2022,AGOSTO_2022
AGOSTO,1,6,TETUÁN,54.058,27.597,47.466,129.12,230.08,0.0,240.0,6.76,32.56,269.64,604.0,333.0,97.0,62.0,22.0,442.0,62.0,26.0,23.0,480.0,2022,AGOSTO_2022
AGOSTO,1,7,CHAMBERÍ,49.705,7.5,10.095,67.3,247.86,0.0,220.0,7.74,12.48,268.3,482.0,262.0,70.0,86.0,0.0,397.0,60.0,18.0,98.0,401.1,2022,AGOSTO_2022
AGOSTO,2,2,ARGANZUELA,5.24,18.12,20.48,43.84,28.4,3.6,0.0,3.4,231.68,267.08,847.0,194.0,30.0,64.0,0.0,171.0,24.0,24.0,30.0,380.0,2022,AGOSTO_2022
AGOSTO,2,3,RETIRO,27.444,13.722,4.574,45.74,148.1,0.0,1.14,19.56,60.56,229.36,522.0,344.0,10.0,41.0,0.0,246.0,22.0,32.0,24.0,360.0,2022,AGOSTO_2022
AGOSTO,2,4,SALAMANCA,19.497,28.438,5.925,53.86,51.06,5.76,0.0,1.56,295.14,353.52,787.0,479.0,0.0,72.0,0.0,323.0,53.0,18.0,31.0,388.4,2022,AGOSTO_2022
AGOSTO,2,5,CHAMARTÍN,19.02,18.02,7.5,44.54,121.78,0.0,0.0,12.5,291.56,425.84,762.0,411.0,0.0,131.0,0.0,379.0,20.0,18.0,32.0,409.2,2022,AGOSTO_2022
AGOSTO,3,8,FUENCARRAL,29.12,31.7,76.1,136.92,155.36,1.22,0.0,18.84,102.6,278.02,1.494,146.0,90.0,91.0,0.0,576.0,62.0,33.0,116.0,376.6,2022,AGOSTO_2022
AGOSTO,3,9,MONCLOA,35.8,8.02,31.86,75.68,105.4,0.0,1.12,9.42,52.94,168.88,1.091,177.0,83.0,52.0,0.0,568.0,62.0,30.0,111.0,247.3,2022,AGOSTO_2022
AGOSTO,3,10,LATINA,67.68,45.46,113.88,227.02,147.72,0.0,0.0,15.56,29.14,192.42,1.223,150.0,29.0,56.0,0.0,441.0,62.0,37.0,311.0,340.0,2022,AGOSTO_2022
AGOSTO,4,15,CIUDAD LINEAL,37.666,17.093,51.89,106.649,84.648,0.0,30.0,18.005,87.419,190.101,1.117,500.0,23.0,87.0,0.0,515.0,0.0,110.0,731.0,545.0,2022,AGOSTO_2022
AGOSTO,4,16,HORTALEZA,54.929,24.927,75.674,155.53,123.445,0.0,60.0,26.257,203.977,353.739,1.746,170.0,116.0,133.0,0.0,508.0,124.0,38.0,198.0,493.7,2022,AGOSTO_2022
AGOSTO,4,20,SAN BLAS,40.804,18.517,56.215,115.536,91.702,0.0,50.0,19.505,151.525,262.783,1.211,360.0,31.0,111.0,0.0,442.0,62.0,48.0,164.0,493.1,2022,AGOSTO_2022
AGOSTO,4,21,BARAJAS,23.541,10.683,32.432,66.656,52.905,0.0,40.0,11.253,139.87,204.068,586.0,110.0,12.0,44.0,0.0,185.0,0.0,6.0,58.0,423.0,2022,AGOSTO_2022
AGOSTO,5,13,PUENTE DE VALLECAS ,29.798,7.898,87.13,124.826,70.994,0.0,0.0,15.449,282.877,369.32,1.38,266.0,54.0,88.0,0.0,665.0,23.0,18.0,31.0,585.7,2022,AGOSTO_2022
AGOSTO,5,18,VILLA DE VALLECAS ,10.628,3.385,34.342,48.355,30.426,0.0,1.14,6.621,121.233,159.42,466.0,76.0,15.0,18.0,0.0,194.0,8.0,11.0,11.0,294.9,2022,AGOSTO_2022
AGOSTO,5,14,MORATALAZ,26.34,9.026,81.578,116.944,81.136,0.0,0.0,17.656,323.288,422.08,687.0,79.0,102.0,45.0,0.0,312.0,23.0,16.0,6.0,219.9,2022,AGOSTO_2022
AGOSTO,5,19,VICÁLVARO,7.085,2.256,22.894,32.235,20.284,0.0,0.0,4.414,80.822,105.52,564.0,128.0,28.0,32.0,0.0,271.0,8.0,6.0,10.0,257.6,2022,AGOSTO_2022
AGOSTO,6,11,CARABANCHEL,3.892,4.264,222.1,230.256,168.472,0.0,96.0,25.816,58.272,252.656,1.406,288.0,39.0,84.0,0.0,569.0,78.0,59.0,383.0,499.4,2022,AGOSTO_2022
AGOSTO,6,12,USERA,2.433,2.665,138.812,143.91,105.295,0.0,60.0,16.135,36.42,157.91,943.0,261.0,37.0,53.0,0.0,359.0,82.0,18.0,20.0,296.0,2022,AGOSTO_2022
AGOSTO,6,17,VILLAVERDE,3.406,3.731,194.337,201.474,147.413,0.0,84.0,22.589,50.988,221.074,1.136,343.0,49.0,66.0,0.0,464.0,57.0,22.0,35.0,307.0,2022,AGOSTO_2022
SEPTIEMBRE,1,1,CENTRO ,26.37,8.11,6.13,40.61,551.09,0.0,2.25,17.12,77.07,647.53,977.0,1.612,107.0,31.0,0.0,822.0,84.0,1.141,7.689,906.43,2022,SEPTIEMBRE_2022
SEPTIEMBRE,1,6,TETUÁN,49.2,25.4,52.44,127.04,317.04,0.0,180.0,9.0,22.08,348.3,584.0,322.0,112.0,66.0,21.0,430.0,60.0,709.0,4.094,514.7,2022,SEPTIEMBRE_2022
SEPTIEMBRE,1,7,CHAMBERÍ,53.728,7.2,10.752,71.68,290.54,0.0,260.0,17.58,5.04,313.42,482.0,263.0,57.0,84.0,0.0,404.0,60.0,324.0,1.303,408.77,2022,SEPTIEMBRE_2022
SEPTIEMBRE,2,2,ARGANZUELA,38.28,13.2,15.16,66.64,171.14,13.14,0.0,4.48,75.58,264.34,819.0,180.0,12.0,38.0,0.0,203.0,22.0,472.0,3.519,423.78,2022,SEPTIEMBRE_2022
SEPTIEMBRE,2,3,RETIRO,37.764,18.882,6.294,62.94,168.08,3.4,840.0,32.34,18.08,222.74,505.0,347.0,6.0,36.0,0.0,236.0,22.0,158.0,2.036,381.36,2022,SEPTIEMBRE_2022
SEPTIEMBRE,2,4,SALAMANCA,19.495,19.45,855.0,39.8,66.58,45.32,10.06,4.82,308.02,434.8,754.0,491.0,0.0,53.0,0.0,303.0,51.0,273.0,747.0,411.94,2022,SEPTIEMBRE_2022
SEPTIEMBRE,2,5,CHAMARTÍN,12.01,16.51,10.92,39.44,67.02,0.0,0.0,11.34,310.18,388.54,850.0,480.0,1.0,113.0,0.0,414.0,20.0,326.0,1.913,451.9,2022,SEPTIEMBRE_2022
SEPTIEMBRE,3,8,FUENCARRAL,18.22,35.56,121.5,175.28,130.22,420.0,340.0,26.9,75.46,233.34,1.45,141.0,85.0,64.0,0.0,560.0,60.0,153.0,3.227,484.82,2022,SEPTIEMBRE_2022
SEPTIEMBRE,3,9,MONCLOA,30.98,22.56,37.48,91.02,145.56,340.0,0.0,17.88,31.4,195.18,1.132,171.0,84.0,48.0,0.0,553.0,60.0,220.0,2.63,301.64,2022,SEPTIEMBRE_2022
SEPTIEMBRE,3,10,LATINA,66.1,38.76,136.32,241.18,127.88,400.0,540.0,11.69,13.62,154.13,1.186,146.0,29.0,53.0,0.0,428.0,60.0,547.0,7.082,443.1,2022,SEPTIEMBRE_2022
SEPTIEMBRE,4,15,CIUDAD LINEAL,40.19,24.648,49.997,114.835,88.742,0.0,144.0,23.842,148.898,261.626,1.095,502.0,20.0,88.0,0.0,502.0,0.0,724.0,4.961,635.69,2022,SEPTIEMBRE_2022
SEPTIEMBRE,4,16,HORTALEZA,58.611,35.945,72.912,167.468,129.416,0.0,210.0,34.769,217.144,381.539,1.673,176.0,120.0,132.0,0.0,504.0,120.0,145.0,1.326,598.27,2022,SEPTIEMBRE_2022
SEPTIEMBRE,4,20,SAN BLAS,43.54,26.702,54.163,124.405,96.138,0.0,156.0,25.828,161.307,283.429,1.203,358.0,30.0,110.0,0.0,441.0,60.0,110.0,705.0,588.05,2022,SEPTIEMBRE_2022
SEPTIEMBRE,4,21,BARAJAS,25.119,15.405,31.248,71.772,55.464,0.0,90.0,14.901,93.062,163.517,570.0,113.0,13.0,44.0,0.0,189.0,0.0,14.0,62.0,450.38,2022,SEPTIEMBRE_2022
SEPTIEMBRE,5,13,PUENTE DE VALLECAS ,45.622,12.629,157.167,215.418,159.73,0.0,500.0,23.251,92.232,275.713,1.327,256.0,46.0,67.0,0.0,641.0,20.0,471.0,5.246,664.83,2022,SEPTIEMBRE_2022
SEPTIEMBRE,5,18,VILLA DE VALLECAS ,33.481,5.413,38.429,77.323,68.456,0.0,220.0,9.965,39.528,118.169,450.0,77.0,21.0,20.0,0.0,187.0,10.0,113.0,817.0,371.44,2022,SEPTIEMBRE_2022
SEPTIEMBRE,5,14,MORATALAZ,44.282,14.433,112.477,171.192,182.548,0.0,560.0,26.572,105.408,315.088,659.0,75.0,95.0,43.0,0.0,299.0,20.0,232.0,2.719,283.86,2022,SEPTIEMBRE_2022
SEPTIEMBRE,5,19,VICÁLVARO,10.82,3.608,37.119,51.547,45.637,0.0,140.0,6.643,26.352,78.772,552.0,134.0,34.0,32.0,0.0,269.0,10.0,124.0,1.825,321.39,2022,SEPTIEMBRE_2022
SEPTIEMBRE,6,11,CARABANCHEL,4.336,10.072,216.008,230.416,167.728,0.0,40.0,30.888,105.008,303.664,1.281,254.0,39.0,82.0,0.0,530.0,51.0,484.0,7.018,605.85,2022,SEPTIEMBRE_2022
SEPTIEMBRE,6,12,USERA,2.71,6.295,135.005,144.01,104.83,0.0,25.0,19.328,65.63,189.813,891.0,249.0,37.0,52.0,0.0,344.0,54.0,87.0,933.0,382.27,2022,SEPTIEMBRE_2022
SEPTIEMBRE,6,17,VILLAVERDE,3.794,8.813,189.007,201.614,146.762,0.0,35.0,27.034,91.882,265.713,931.0,279.0,50.0,66.0,0.0,451.0,57.0,326.0,3.517,419.65,2022,SEPTIEMBRE_2022
OCTUBRE,1,1,CENTRO ,47.3,21.14,4.33,72.77,666.4,9.98,1.83,16.62,10.84,705.67,996.0,1.612,102.0,32.0,0.0,798.0,81.0,1.168,7.995,906.4,2022,OCTUBRE_2022
OCTUBRE,1,6,TETUÁN,29.51,21.08,33.73,84.32,382.74,12.32,180.0,6.88,0.0,402.12,600.0,331.0,109.0,71.0,20.0,452.0,62.0,145.0,1.313,514.7,2022,OCTUBRE_2022
OCTUBRE,1,7,CHAMBERÍ,47.049,5.6,9.291,61.94,308.98,0.0,420.0,8.28,5.42,323.1,515.0,269.0,47.0,90.0,1.0,411.0,58.0,392.0,1.234,408.78,2022,OCTUBRE_2022
OCTUBRE,2,2,ARGANZUELA,22.52,10.92,18.82,52.26,216.06,12.52,0.0,5.96,44.76,279.3,868.0,268.0,20.0,42.0,0.0,297.0,35.0,261.0,3.279,423.79,2022,OCTUBRE_2022
OCTUBRE,2,3,RETIRO,34.548,17.274,5.758,57.58,193.98,5.34,1.26,26.68,14.08,241.34,550.0,352.0,32.0,30.0,0.0,248.0,20.0,273.0,2.269,381.37,2022,OCTUBRE_2022
OCTUBRE,2,4,SALAMANCA,12.08,23.812,248.0,36.14,57.36,2.76,820.0,3.32,374.74,439.0,750.0,509.0,11.0,46.0,0.0,322.0,46.0,188.0,1.588,411.94,2022,OCTUBRE_2022
OCTUBRE,2,5,CHAMARTÍN,21.08,18.92,11.74,51.74,167.28,7.4,0.0,15.64,256.52,446.84,857.0,424.0,2.0,47.0,0.0,473.0,23.0,91.0,893.0,451.89,2022,OCTUBRE_2022
OCTUBRE,3,8,FUENCARRAL,41.6,59.88,64.92,166.4,169.78,8.429,280.0,26.4,83.044,287.933,1.524,146.0,84.0,63.0,0.0,547.0,62.0,581.0,9.338,452.82,2022,OCTUBRE_2022
OCTUBRE,3,9,MONCLOA,26.64,26.18,12.94,65.76,144.6,23.72,0.0,12.44,30.46,211.22,1.186,178.0,81.0,44.0,0.0,546.0,62.0,308.0,3.749,285.64,2022,OCTUBRE_2022
OCTUBRE,3,10,LATINA,106.1,47.14,90.92,244.16,134.24,10.72,1.1,13.14,14.02,173.22,1.249,151.0,30.0,51.0,0.0,429.0,62.0,416.0,8.125,459.1,2022,OCTUBRE_2022
OCTUBRE,4,15,CIUDAD LINEAL,35.783,27.931,34.886,98.6,121.948,0.0,86.0,22.824,146.095,290.953,1.117,516.0,20.0,80.0,0.0,534.0,0.0,270.0,2.618,651.69,2022,OCTUBRE_2022
OCTUBRE,4,16,HORTALEZA,52.184,40.733,50.876,143.793,177.841,0.0,126.0,33.285,213.055,424.307,1.709,182.0,116.0,120.0,0.0,504.0,123.0,393.0,3.871,614.27,2022,OCTUBRE_2022
OCTUBRE,4,20,SAN BLAS,38.765,30.259,37.794,106.818,132.11,0.0,94.0,24.726,158.27,315.2,1.227,371.0,31.0,101.0,0.0,476.0,62.0,493.0,5.087,572.05,2022,OCTUBRE_2022
OCTUBRE,4,21,BARAJAS,22.364,17.457,21.804,61.625,76.217,0.0,54.0,14.265,91.309,181.845,585.0,112.0,15.0,39.0,0.0,179.0,0.0,112.0,1.426,450.38,2022,OCTUBRE_2022
OCTUBRE,5,13,PUENTE DE VALLECAS ,33.052,12.95,169.001,215.003,117.935,7.648,406.0,21.221,185.97,333.18,1.421,249.0,48.0,86.0,0.0,649.0,23.0,411.0,5.852,648.83,2022,OCTUBRE_2022
OCTUBRE,5,18,VILLA DE VALLECAS ,17.022,5.55,56.715,79.287,44.115,6.692,174.0,9.095,71.13,131.206,472.0,92.0,21.0,22.0,0.0,200.0,8.0,330.0,4.126,371.44,2022,OCTUBRE_2022
OCTUBRE,5,14,MORATALAZ,28.059,9.8,133.573,171.432,102.64,2.868,464.0,24.525,169.68,300.177,641.0,75.0,94.0,51.0,0.0,273.0,23.0,160.0,1.948,315.86,2022,OCTUBRE_2022
OCTUBRE,5,19,VICÁLVARO,10.015,3.7,49.143,62.858,29.41,1.912,116.0,6.063,47.42,84.921,532.0,130.0,32.0,40.0,0.0,267.0,8.0,140.0,1.759,321.39,2022,OCTUBRE_2022
OCTUBRE,6,11,CARABANCHEL,13.098,11.15,251.121,275.369,201.8,960.0,96.0,19.945,67.852,290.653,1.451,324.0,30.0,84.0,0.0,540.0,57.0,752.0,16.016,621.85,2022,OCTUBRE_2022
OCTUBRE,6,12,USERA,8.224,7.001,157.68,172.905,126.125,600.0,60.0,31.912,42.407,201.104,1.003,259.0,38.0,52.0,0.0,364.0,64.0,445.0,3.573,398.27,2022,OCTUBRE_2022
OCTUBRE,6,17,VILLAVERDE,9.138,7.779,175.201,192.118,176.575,840.0,84.0,27.923,59.371,264.793,1.13,318.0,60.0,60.0,0.0,450.0,56.0,116.0,2.323,419.65,2022,OCTUBRE_2022
NOVIEMBRE,1,1,CENTRO ,37.752,16.843,3.485,58.08,612.1,19.58,2.3,14.32,11.02,659.32,929.0,1.557,97.0,70.0,0.0,766.0,78.0,1.377,10.92,895.6,2022,NOVIEMBRE_2022
NOVIEMBRE,1,6,TETUÁN,23.56,23.2,31.2,77.96,404.32,42.64,160.0,3.84,2.14,453.1,584.0,320.0,31.0,167.0,20.0,419.0,60.0,874.0,6.71,511.3,2022,NOVIEMBRE_2022
NOVIEMBRE,1,7,CHAMBERÍ,47.209,5.411,8.44,61.06,234.28,37.82,400.0,7.98,1.94,282.42,487.0,262.0,37.0,184.0,0.0,399.0,60.0,382.0,1.844,402.98,2022,NOVIEMBRE_2022
NOVIEMBRE,2,2,ARGANZUELA,14.121,10.4,29.78,54.301,247.3,40.92,0.0,2.32,66.1,356.64,805.0,294.0,20.0,83.0,0.0,308.0,44.0,506.0,4.541,413.09,2022,NOVIEMBRE_2022
NOVIEMBRE,2,3,RETIRO,34.62,17.31,5.77,57.7,205.11,18.74,580.0,26.74,17.7,268.87,514.0,360.0,23.0,55.0,0.0,236.0,18.0,125.0,1.022,361.17,2022,NOVIEMBRE_2022
NOVIEMBRE,2,4,SALAMANCA,15.232,17.505,5.303,38.04,34.24,8.86,0.0,0.0,348.82,391.92,706.0,495.0,3.0,86.0,0.0,318.0,48.0,306.0,1.143,405.7,2022,NOVIEMBRE_2022
NOVIEMBRE,2,5,CHAMARTÍN,11.5,10.0,4.5,26.0,108.16,22.5,0.0,6.98,415.18,552.82,726.0,422.0,3.0,66.0,0.0,488.0,21.0,301.0,2.567,451.97,2022,NOVIEMBRE_2022
NOVIEMBRE,3,8,FUENCARRAL,28.02,45.46,75.22,148.7,207.84,82.759,0.0,20.92,37.74,349.259,1.374,167.0,80.0,108.0,0.0,535.0,60.0,279.0,3.894,432.68,2022,NOVIEMBRE_2022
NOVIEMBRE,3,9,MONCLOA,31.6,18.48,20.4,70.48,198.9,86.0,0.0,12.4,10.86,308.16,1.018,223.0,75.0,123.0,0.0,530.0,60.0,222.0,2.155,245.69,2022,NOVIEMBRE_2022
NOVIEMBRE,3,10,LATINA,70.98,52.66,84.84,208.48,178.46,67.1,1.08,11.38,2.82,260.84,1.15,140.0,29.0,126.0,0.0,413.0,60.0,552.0,6.645,461.0,2022,NOVIEMBRE_2022
NOVIEMBRE,4,15,CIUDAD LINEAL,30.538,22.33,30.854,83.722,111.835,0.0,101.0,14.698,168.014,294.648,1.075,495.0,20.0,76.0,0.0,527.0,0.0,784.0,5.163,631.6,2022,NOVIEMBRE_2022
NOVIEMBRE,4,16,HORTALEZA,44.534,32.564,44.996,122.094,163.093,0.0,147.0,21.434,245.021,429.695,1.602,170.0,113.0,116.0,0.0,499.0,115.0,125.0,1.486,616.58,2022,NOVIEMBRE_2022
NOVIEMBRE,4,20,SAN BLAS,33.082,24.19,33.426,90.698,121.155,0.0,109.0,15.922,182.016,319.202,1.238,358.0,31.0,95.0,0.0,473.0,62.0,45.0,199.0,562.38,2022,NOVIEMBRE_2022
NOVIEMBRE,4,21,BARAJAS,19.086,13.956,19.284,52.326,69.897,0.0,63.0,9.186,105.009,184.155,568.0,109.0,14.0,37.0,0.0,181.0,0.0,14.0,216.0,442.15,2022,NOVIEMBRE_2022
NOVIEMBRE,5,13,PUENTE DE VALLECAS ,39.763,11.856,152.746,204.365,121.828,79.33,903.0,21.392,160.853,384.306,1.353,218.0,56.0,63.0,0.0,682.0,34.0,572.0,5.688,651.2,2022,NOVIEMBRE_2022
NOVIEMBRE,5,18,VILLA DE VALLECAS ,23.47,5.081,39.034,67.585,52.212,69.414,387.0,9.168,68.937,200.118,402.0,84.0,8.0,16.0,0.0,209.0,8.0,130.0,950.0,375.74,2022,NOVIEMBRE_2022
NOVIEMBRE,5,14,MORATALAZ,27.587,13.549,117.424,158.56,139.232,29.749,1.032,24.448,183.832,378.293,515.0,66.0,79.0,42.0,0.0,267.0,13.0,164.0,1.226,317.28,2022,NOVIEMBRE_2022
NOVIEMBRE,5,19,VICÁLVARO,10.647,3.387,39.356,53.39,34.808,19.833,258.0,6.112,45.958,106.969,426.0,118.0,22.0,32.0,0.0,271.0,6.0,177.0,1.437,341.48,2022,NOVIEMBRE_2022
NOVIEMBRE,6,11,CARABANCHEL,13.098,11.15,251.121,275.369,201.8,960.0,96.0,19.945,67.852,290.653,1.451,324.0,30.0,84.0,0.0,540.0,57.0,949.0,10.36,631.49,2022,NOVIEMBRE_2022
NOVIEMBRE,6,12,USERA,8.224,7.001,157.68,172.905,126.125,600.0,60.0,31.912,42.407,201.104,1.003,259.0,38.0,52.0,0.0,364.0,64.0,121.0,996.0,371.5,2022,NOVIEMBRE_2022
NOVIEMBRE,6,17,VILLAVERDE,9.138,7.779,175.201,192.118,176.575,840.0,84.0,27.923,59.371,264.793,1.13,318.0,60.0,60.0,0.0,450.0,56.0,348.0,4.005,422.36,2022,NOVIEMBRE_2022
DICIEMBRE,1,1,CENTRO ,38.26,17.2,3.54,59.0,687.12,30.96,1.16,17.54,32.78,769.56,993.0,1.895,88.0,100.0,0.0,798.0,81.0,1.251,7.931,875.0,2022,DICIEMBRE_2022
DICIEMBRE,1,6,TETUÁN,19.5,14.5,34.3,68.3,466.14,68.16,220.0,5.88,6.2,546.6,602.0,318.0,105.0,213.0,18.0,448.0,60.0,150.0,1.184,516.9,2022,DICIEMBRE_2022
DICIEMBRE,1,7,CHAMBERÍ,44.03,4.5,7.25,55.78,295.9,110.24,260.0,3.762,6.22,416.382,507.0,270.0,20.0,215.0,0.0,329.0,63.0,348.0,1.68,406.15,2022,DICIEMBRE_2022
DICIEMBRE,2,2,ARGANZUELA,9.68,7.0,27.86,44.54,241.12,84.97,0.0,4.92,140.76,471.77,793.0,283.0,11.0,124.0,0.0,286.0,33.0,299.0,2.831,419.2,2022,DICIEMBRE_2022
