MES;LOTE;COD_DISTRITO;DISTRITO;MUEBLES 010    ;MUEBLES RECOG. PROGRAMADA ;MUEBLES RECOG. EN CALLE             ;Kg Recogida de muebles;RESTO            ;ORGÁNICA   (HOJAS Y RAMAS)                 ;ENVASES         ;PAPEL Y CARTÓN;VARIOS/RCDs CÓD DESTINO: VERLD;Kg Recogida Residuos Viarios;Nº Servicios Barrido Manual;Nº Servicios Barrido Mantenimiento;Nº Servicios Barrido Mecánico;Nº Servicios Barrido Mixto;Nº Servicios Baldeo Mecánico;Nº Servicios Baldeo Mixto;Nº Servicios Hidrolimpiador (Manchas);Nº Servicios Eliminación Grafitis;M2 Eliminación Grafitis;Ud Reposición Bolsas Caninas;;;;;;;;;;;;;
NOVIEMBRE;3;8;FUENCARRAL;42.220;40.640;71.900;154.760;238.320;148.720;0;21.060;14.820;422.920;1.515;143;81;194;0;560;60;211;3.804;411.700;;;;;;;;;;;;;
NOVIEMBRE;3;9;MONCLOA;28.400;37.940;10.180;76.520;185.120;106.260;0;17.980;3.420;312.780;1.177;170;79;181;0;556;60;128;1.222;200.600;;;;;;;;;;;;;
NOVIEMBRE;3;10;LATINA;79.760;64.820;85.780;230.360;167.220;133.240;700;8.780;31.860;341.800;1.201;146;33;186;0;430;60;587;6.478;449.400;;;;;;;;;;;;;
NOVIEMBRE;4;15;CIUDAD LINEAL;60.368;30.310;69.916;160.594;372.232;122.507;161;44.149;14.175;553.224;1.088;495;5;87;0;522;0;384;3.775;644.600;;;;;;;;;;;;;
NOVIEMBRE;4;16;HORTALEZA;51.744;25.980;59.928;137.652;319.056;105.006;138;37.842;12.150;474.192;1.680;174;129;153;0;490;119;108;638;626.000;;;;;;;;;;;;;
NOVIEMBRE;4;20;SAN BLAS;43.120;21.650;49.940;114.710;265.880;87.505;115;31.535;10.125;395.160;1.196;349;30;143;0;439;60;81;728;562.000;;;;;;;;;;;;;
NOVIEMBRE;4;21;BARAJAS;17.248;8.660;19.976;45.884;106.352;35.002;46;12.614;4.050;158.064;574;102;14;39;0;177;0;30;296;420.100;;;;;;;;;;;;;
NOVIEMBRE;5;13;PUENTE DE VALLECAS ;21.594;6.251;223.843;251.688;404.822;109.416;218;23.165;57.793;595.414;1.510;245;108;213;0;686;34;477;5.575;669.300;;;;;;;;;;;;;
NOVIEMBRE;5;18;VILLA DE VALLECAS ;12.178;7.144;70.107;89.429;173.368;41.031;142;15.760;23.192;253.493;529;87;25;121;0;203;8;89;824;338.100;;;;;;;;;;;;;
NOVIEMBRE;5;14;MORATALAZ;9.254;2.679;51.290;63.223;105.638;95.739;72;7.785;16.197;225.431;682;69;124;116;0;252;12;176;1.664;404.200;;;;;;;;;;;;;
NOVIEMBRE;5;19;VICÁLVARO;6.170;1.786;42.527;50.482;87.092;27.354;48;5.190;10.798;130.482;557;120;49;98;0;266;6;86;442;361.800;;;;;;;;;;;;;
NOVIEMBRE;6;11;CARABANCHEL;6.556;10.296;256.766;273.618;199.584;88.880;106;30.263;64.786;383.619;1.477;302;57;287;0;514;47;629;6.446;648.600;;;;;;;;;;;;;
NOVIEMBRE;6;12;USERA;3.874;6.084;151.726;161.684;117.936;52.520;62;17.883;38.282;226.683;985;221;50;185;0;343;51;198;2.518;364.900;;;;;;;;;;;;;
NOVIEMBRE;6;17;VILLAVERDE;4.470;7.020;175.068;186.558;136.080;60.600;72;20.634;44.172;261.558;1.143;356;70;193;0;428;48;147;1.404;479.200;;;;;;;;;;;;;
DICIEMBRE;1;1;CENTRO ;42.000;18.740;3.880;64.620;682.440;52.060;5.920;10.020;7.700;758.140;1.077;1.849;98;138;0;695;80;603;3.805;765.200;;;;;;;;;;;;;
DICIEMBRE;1;6;TETUÁN;16.920;25.400;42.320;84.640;466.600;47.480;80;3.480;0;517.640;663;331;103;408;0;219;62;154;743;455.900;;;;;;;;;;;;;
DICIEMBRE;1;7;CHAMBERÍ;45.400;3.410;4.770;53.580;288.480;83.700;300;2.060;0;374.540;584;269;46;319;0;260;61;217;604;361.500;;;;;;;;;;;;;
DICIEMBRE;2;2;ARGANZUELA;7.400;15.280;35.900;58.580;314.412;81.980;3.440;3.580;960;404.372;815;158;8;99;0;273;39;228;1.301;294.100;;;;;;;;;;;;;
DICIEMBRE;2;3;RETIRO;27.228;13.614;4.538;45.380;252.800;20.360;780;15.920;0;289.860;410;325;3;80;0;217;41;291;2.057;333.600;;;;;;;;;;;;;
DICIEMBRE;2;4;SALAMANCA;10.126;8.520;3.394;22.040;438.560;117.210;360;1.660;0;557.790;516;398;12;134;0;329;56;95;696;489.100;;;;;;;;;;;;;
DICIEMBRE;2;5;CHAMARTÍN;26.720;21.000;7.400;55.120;266.720;132.980;480;29.880;64.400;494.460;765;286;0;110;0;475;51;81;659;384.600;;;;;;;;;;;;;
DICIEMBRE;3;8;FUENCARRAL;80.840;39.860;61.120;181.820;358.520;130.180;0;36.100;0;524.800;1.573;150;80;154;0;546;62;283;4.701;394.300;;;;;;;;;;;;;
DICIEMBRE;3;9;MONCLOA;29.660;51.970;11.940;93.570;207.560;70.000;0;16.520;0;294.080;1.204;181;79;141;0;546;62;230;1.567;181.300;;;;;;;;;;;;;
DICIEMBRE;3;10;LATINA;75.560;82.200;89.360;247.120;244.440;120.280;1.240;8.700;0;374.660;1.251;151;34;152;0;425;62;343;3.650;425.400;;;;;;;;;;;;;
DICIEMBRE;4;15;CIUDAD LINEAL;51.660;30.415;72.842;154.917;334.775;133.448;60;57.603;5.565;531.451;1.131;504;3;132;0;343;0;147;1.224;609.900;;;;;;;;;;;;;
DICIEMBRE;4;16;HORTALEZA;44.280;26.070;62.436;132.786;286.950;114.384;55;49.374;4.770;455.533;1.725;182;127;204;0;358;122;301;5.057;603.400;;;;;;;;;;;;;
DICIEMBRE;4;20;SAN BLAS;36.900;21.725;52.030;110.655;239.125;95.320;45;41.145;3.975;379.610;1.247;349;31;292;0;236;60;347;3.536;536.300;;;;;;;;;;;;;
DICIEMBRE;4;21;BARAJAS;14.760;8.690;20.812;44.262;95.650;38.128;20;16.458;1.590;151.846;566;103;17;66;0;98;0;104;1.106;405.800;;;;;;;;;;;;;
DICIEMBRE;5;13;PUENTE DE VALLECAS ;19.982;8.328;204.105;232.415;413.376;144.956;680;33.106;46.871;638.989;1.529;258;106;438;0;353;34;186;1.488;616.000;;;;;;;;;;;;;
DICIEMBRE;5;18;VILLA DE VALLECAS ;13.194;5.232;84.334;102.760;183.144;49.671;220;21.764;21.424;276.223;541;89;14;172;0;93;7;186;1.688;319.700;;;;;;;;;;;;;
DICIEMBRE;5;14;MORATALAZ;6.635;2.712;57.688;67.035;114.304;103.399;180;10.974;13.659;242.516;667;72;88;181;0;144;12;23;129;394.000;;;;;;;;;;;;;
DICIEMBRE;5;19;VICÁLVARO;4.424;1.808;38.459;44.690;84.536;33.114;120;7.316;9.106;134.192;556;127;33;151;0;175;8;132;1.189;355.100;;;;;;;;;;;;;
DICIEMBRE;6;11;CARABANCHEL;7.128;8.388;256.158;271.674;268.794;128.618;26;37.080;25.497;460.015;1.583;315;43;310;0;466;42;418;4.082;611.700;;;;;;;;;;;;;
DICIEMBRE;6;12;USERA;3.960;4.660;142.310;150.930;149.330;71.455;20;20.600;14.165;255.570;1.074;227;42;209;0;313;59;166;1.449;355.100;;;;;;;;;;;;;
DICIEMBRE;6;17;VILLAVERDE;4.752;5.592;170.772;181.116;179.196;85.745;24;24.720;16.998;306.683;1.259;303;63;228;0;381;46;229;2.531;463.800;;;;;;;;;;;;;
